station	date	operateur	releve	herbe	sol_nu	roche	mousse	hauteur	ciel	rq_station	taxon	entendu	vu	fauche	stade	abondance	rq_ind	altitude	data_GPS	X_WGS84	Y_WGS84
2019-08	29/09/2019	BRAUD Yoan	1421	95	0	0	5	35	ensoleille	lande a genevrier rampant et vaccinium	Anonconotus baracunensis ligustinus		1		adulte	1	Presence hors releve Decticus verrucivorus et Nemobius sylvestris	1883	29/09/2019	7.525291	44.126776
G113	20/09/2018	BRAUD Yoan	1	95	0	2	3	11	ensoleille		Stauroderus scalaris	1	1	1	adulte	3		2480	20/09/2018	7.36466	44.06427
2019-10	29/09/2019	BRAUD Yoan	1412	90	0	5	5	30	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	1	Presence hors releve d'Arcyptera fusca /Individu d'Anonconotus b. ligustinus recolte	2309	29/09/2019	7.518782	44.135482
G113	20/09/2018	BRAUD Yoan	1	95	0	2	3	11	ensoleille		Myrmeleotettix maculatus		1	1	adulte	 +		2480	20/09/2018	7.36466	44.06427
G113	20/09/2018	BRAUD Yoan	1	95	0	2	3	11	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	4		2480	20/09/2018	7.36466	44.06427
G113	20/09/2018	BRAUD Yoan	1	95	0	2	3	11	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2480	20/09/2018	7.36466	44.06427
G113	20/09/2018	BRAUD Yoan	1	95	0	2	3	11	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		2480	20/09/2018	7.36466	44.06427
2019-10	29/09/2019	BRAUD Yoan	1415	85	10	5	0	8	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	 +	Presence hors releve d'Arcyptera fusca /Individu d'Anonconotus b. ligustinus recolte	2302	29/09/2019	7.519016	44.135512
2019-11	29/09/2019	BRAUD Yoan	1406	90	0	5	5	10	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	 +		2475	29/09/2019	7.510659	44.138477
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Myrmeleotettix maculatus	1	1	1	adulte	 ++		2480	20/09/2018	7.36468	44.06409
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Podisma dechambrei		1		adulte	1		2480	20/09/2018	7.36468	44.06409
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Stenobothrus lineatus		1		adulte	1		2480	20/09/2018	7.36468	44.06409
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	2		2480	20/09/2018	7.36468	44.06409
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Anonconotus ghiliani		1	1	adulte	3		2480	20/09/2018	7.36468	44.06409
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Anonconotus mercantouri		1		adulte	 +		2480	20/09/2018	7.36468	44.06409
2019-11	29/09/2019	BRAUD Yoan	1407	90	0	5	5	10	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	1		2486	29/09/2019	7.51052	44.138314
G113	20/09/2018	BRAUD Yoan	2	50	18	30	2	6	ensoleille		Gomphocerinae sp		1	1	juvenile	3		2480	20/09/2018	7.36468	44.06409
2019-11	29/09/2019	BRAUD Yoan	1408	95	0	0	5	8	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	5		2489	29/09/2019	7.510402	44.138472
G113	20/09/2018	BRAUD Yoan	3	80	15	5	0	9	ensoleille		Stauroderus scalaris	1	1		adulte	1		2490	20/09/2018	7.36446	44.06412
2019-11	29/09/2019	BRAUD Yoan	1409	90	5	5	0	6	ensoleille		Anonconotus baracunensis ligustinus		1		adulte	 +		2493	29/09/2019	7.510183	44.138335
G113	20/09/2018	BRAUD Yoan	3	80	15	5	0	9	ensoleille		Myrmeleotettix maculatus	1	1	1	adulte	 ++		2490	20/09/2018	7.36446	44.06412
G113	20/09/2018	BRAUD Yoan	3	80	15	5	0	9	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 +		2490	20/09/2018	7.36446	44.06412
